DATE,MCAP
1.6181E+12,2.09986E+12
1.61819E+12,2.12096E+12
1.61827E+12,2.13739E+12
1.61836E+12,2.25791E+12
1.61844E+12,2.28111E+12
1.61853E+12,2.32842E+12
1.61862E+12,2.30942E+12
1.6187E+12,2.25322E+12
1.61879E+12,2.12296E+12
1.61888E+12,2.08811E+12
1.61896E+12,2.13619E+12
1.61905E+12,2.07236E+12
1.61914E+12,2.00001E+12
1.61922E+12,1.96295E+12
1.61931E+12,1.90095E+12
1.6194E+12,1.88473E+12
1.61948E+12,2.0849E+12
1.61957E+12,2.15987E+12
1.61965E+12,2.16712E+12
1.61974E+12,2.15308E+12
1.61983E+12,2.28132E+12
1.61991E+12,2.32431E+12
1.62E+12,2.29528E+12
1.62009E+12,2.39778E+12
1.62017E+12,2.27278E+12
1.62026E+12,2.4738E+12
1.62035E+12,2.45866E+12
1.62069E+12,2.43543E+12
1.62078E+12,2.55505E+12
1.62086E+12,2.26136E+12
1.62095E+12,2.28854E+12
1.62104E+12,2.3934E+12
1.62112E+12,2.24944E+12
1.62121E+12,2.24693E+12
1.6213E+12,2.09761E+12
1.62138E+12,2.12005E+12
1.62147E+12,1.65001E+12
1.62156E+12,1.82E+12
1.62164E+12,1.65052E+12
1.62173E+12,1.61299E+12
1.62181E+12,1.46753E+12
1.6219E+12,1.7137E+12
1.62199E+12,1.71236E+12
1.62207E+12,1.80477E+12
1.62216E+12,1.75096E+12
1.62225E+12,1.60731E+12
1.62233E+12,1.54225E+12
1.62242E+12,1.59734E+12
1.62251E+12,1.71472E+12
1.62259E+12,1.695E+12
1.62268E+12,1.75264E+12
1.62276E+12,1.83169E+12
1.62285E+12,1.71862E+12
1.62294E+12,1.66812E+12
1.62302E+12,1.69441E+12
1.62311E+12,1.58544E+12
1.6232E+12,1.57933E+12
1.62328E+12,1.6925E+12
1.62337E+12,1.63141E+12
1.62346E+12,1.60049E+12
1.62354E+12,1.57026E+12
1.62363E+12,1.68145E+12
1.62372E+12,1.7364E+12
1.6238E+12,1.726E+12
1.62389E+12,1.6328E+12
1.62397E+12,1.6392E+12
1.62406E+12,1.54657E+12
1.62415E+12,1.52766E+12
1.62423E+12,1.54708E+12
1.62432E+12,1.32688E+12
1.62441E+12,1.31819E+12
1.62449E+12,1.39592E+12
1.62458E+12,1.43671E+12
1.62467E+12,1.33367E+12
1.62475E+12,1.33073E+12
1.62484E+12,1.42064E+12
1.62492E+12,1.44373E+12
1.62501E+12,1.50022E+12
1.6251E+12,1.50168E+12
1.62518E+12,1.43446E+12
1.62527E+12,1.44579E+12
1.62536E+12,1.48232E+12
1.62544E+12,1.51952E+12
1.62553E+12,1.46475E+12
1.62562E+12,1.49414E+12
1.6257E+12,1.49117E+12
1.62579E+12,1.418E+12
1.62588E+12,1.45907E+12
1.62596E+12,1.44338E+12
1.62605E+12,1.46363E+12
1.62613E+12,1.42126E+12
1.62622E+12,1.38587E+12
1.62631E+12,1.39406E+12
1.62639E+12,1.35207E+12
1.62648E+12,1.32131E+12
1.62657E+12,1.33233E+12
1.62665E+12,1.34379E+12
1.62674E+12,1.293E+12
1.62683E+12,1.25093E+12
1.62691E+12,1.35585E+12
1.627E+12,1.37176E+12
1.62708E+12,1.41522E+12
1.62717E+12,1.4495E+12
1.62726E+12,1.47904E+12
1.62734E+12,1.52234E+12
1.62743E+12,1.57723E+12
1.62752E+12,1.60266E+12
1.6276E+12,1.62374E+12
1.62769E+12,1.68289E+12
