Date,Close/Last,Volume,Open,High,Low
02/28/2020,53.3414,1159,52.48,53.3414,52.445
02/27/2020,54.6365,1368,55.6492,55.9912,54.6365
02/26/2020,56.8251,525,57.24,57.50,56.8251
02/25/2020,57.13,683,59.00,59.00,57.13
02/24/2020,58.9069,100,58.9069,58.9069,58.9069
02/21/2020,60.7142,2171,60.6694,60.78,60.6694
02/20/2020,61.1235,5,61.1235,61.1235,61.1235
02/19/2020,61.2523,4,61.2523,61.2523,61.2523
02/18/2020,61.029,6708,61.23,61.23,60.8176
02/14/2020,61.1867,258,61.15,61.1867,61.15
02/13/2020,61.157,258,61.188,61.188,61.157
02/12/2020,61.2156,35,61.2156,61.2156,61.2156
02/11/2020,60.887,11,60.887,60.887,60.887
02/10/2020,60.348,N/A,60.348,60.348,60.348
02/07/2020,60.348,157,60.348,60.348,60.348
02/06/2020,60.6078,22,60.6078,60.6078,60.6078
02/05/2020,60.4449,59,60.4449,60.4449,60.4449
02/04/2020,59.7207,1251,59.872,59.875,59.7207
02/03/2020,59.05,207,59.24,59.26,59.05
01/31/2020,58.7484,1310,59.26,59.26,58.7484
01/30/2020,59.5854,914,59.00,59.5854,59.00
01/29/2020,59.5542,602,59.7727,59.7727,59.5542
01/28/2020,59.6799,395,59.6799,59.6799,59.6799
01/27/2020,59.2087,215,59.3165,59.3165,59.2087
01/24/2020,60.6108,N/A,60.6108,60.6108,60.6108
01/23/2020,60.6108,429,60.50,60.6108,60.50
01/22/2020,60.6501,156,60.6501,60.6501,60.6501
01/21/2020,60.6466,184,60.6823,60.6823,60.6466
01/17/2020,60.8262,1200,60.84,60.84,60.7922
01/16/2020,60.6479,3,60.6479,60.6479,60.6479
01/15/2020,60.2366,108,60.25,60.25,60.2366
01/14/2020,60.129,852,60.1532,60.1532,60.129
01/13/2020,60.1162,2715,60.52,60.52,60.0999
01/10/2020,59.8501,1,59.8501,59.8501,59.8501
01/09/2020,60.0223,8508,59.9475,60.0223,59.85
01/08/2020,59.7365,599,59.55,59.7365,59.55
01/07/2020,59.515,121,59.515,59.515,59.515
01/06/2020,59.6599,1587,59.50,59.6599,59.50
01/03/2020,59.5145,58,59.5145,59.5145,59.5145
01/02/2020,59.7847,88,59.7847,59.7847,59.7847
12/31/2019,59.4474,92,59.4474,59.4474,59.4474
12/30/2019,59.3226,21,59.3226,59.3226,59.3226
12/27/2019,59.6271,1999,59.735,59.77,59.6271
12/26/2019,59.6056,162,59.68,59.68,59.6056
12/24/2019,59.38,11,59.38,59.38,59.38
12/23/2019,59.6575,15,59.6575,59.6575,59.6575
12/20/2019,59.3295,N/A,59.3295,59.3295,59.3295
12/19/2019,59.3295,2,59.3295,59.3295,59.3295
12/18/2019,59.1842,8,59.1842,59.1842,59.1842
12/17/2019,59.1695,5000,59.2899,59.2899,59.1695
12/16/2019,59.105,3,59.105,59.105,59.105
12/13/2019,58.7178,24,58.7178,58.7178,58.7178
12/12/2019,58.8378,100,58.65,58.8378,58.65
12/11/2019,58.3448,125,58.31,58.3448,58.31
12/10/2019,58.3595,N/A,58.3595,58.3595,58.3595
12/09/2019,58.3595,20,58.3595,58.3595,58.3595
12/06/2019,58.476,3,58.476,58.476,58.476
12/05/2019,57.9329,N/A,57.9329,57.9329,57.9329
12/04/2019,57.9329,72,57.9329,57.9329,57.9329
12/03/2019,57.8696,N/A,57.8696,57.8696,57.8696
12/02/2019,57.8696,5,57.8696,57.8696,57.8696
11/29/2019,58.265,82,58.265,58.265,58.265
11/27/2019,58.49,239,58.351,58.49,58.351
11/26/2019,58.2567,603,58.09,58.2567,58.09
11/25/2019,58.0949,1,58.0949,58.0949,58.0949
11/22/2019,57.7539,126,57.7016,57.7539,57.7016
11/21/2019,57.5985,5,57.5985,57.5985,57.5985
11/20/2019,57.7916,N/A,57.7916,57.7916,57.7916
11/19/2019,57.7916,2004,57.84,57.84,57.7916
11/18/2019,57.8416,10,57.8416,57.8416,57.8416
11/15/2019,57.8048,2,57.8048,57.8048,57.8048
11/14/2019,57.4332,18,57.4332,57.4332,57.4332
11/13/2019,57.3334,703,57.41,57.41,57.3334
11/12/2019,57.315,18,57.315,57.315,57.315
11/11/2019,57.216,87,57.216,57.216,57.216
11/08/2019,57.358,1,57.358,57.358,57.358
11/07/2019,57.2688,13552,57.33,57.35,57.2688
11/06/2019,57.1691,32,57.1691,57.1691,57.1691
11/05/2019,57.1564,201,57.1564,57.1564,57.1564
11/04/2019,57.186,33,57.186,57.186,57.186
11/01/2019,56.984,104,56.95,56.984,56.95
10/31/2019,56.4479,870,56.86,56.86,56.33
10/30/2019,56.7011,1700,56.63,56.7011,56.50
10/29/2019,56.56,900,56.28,56.56,56.28
10/28/2019,56.4895,233,56.50,56.50,56.4895
10/25/2019,56.2717,303,56.2639,56.2717,56.2639
10/24/2019,56.1776,80,56.1776,56.1776,56.1776
10/23/2019,56.2354,179,56.17,56.2354,56.17
10/22/2019,56.0924,20,56.0924,56.0924,56.0924
10/21/2019,56.1188,15,56.1188,56.1188,56.1188
10/18/2019,55.8633,100,55.86,55.8633,55.86
10/17/2019,55.9602,100,55.98,55.98,55.9602
10/16/2019,55.7079,100,55.83,55.83,55.7079
10/15/2019,55.7417,104,55.70,55.7417,55.70
10/14/2019,55.2069,130,55.23,55.23,55.2069
10/11/2019,55.2855,7800,55.41,55.57,55.2855
10/10/2019,54.7321,1,54.7321,54.7321,54.7321
10/09/2019,53.9778,N/A,53.9778,53.9778,53.9778
10/08/2019,53.9778,37,53.9778,53.9778,53.9778
10/07/2019,54.8168,25,54.8168,54.8168,54.8168
10/04/2019,55.0001,5,55.0001,55.0001,55.0001
10/03/2019,54.1957,15,54.1957,54.1957,54.1957
10/02/2019,53.8886,1,53.8886,53.8886,53.8886
10/01/2019,55.5883,N/A,55.5883,55.5883,55.5883
09/30/2019,55.5883,5,55.5883,55.5883,55.5883
09/27/2019,55.7339,N/A,55.7339,55.7339,55.7339
09/26/2019,55.7339,N/A,55.7339,55.7339,55.7339
09/25/2019,55.7339,N/A,55.7339,55.7339,55.7339
09/24/2019,55.7339,37,55.7339,55.7339,55.7339
09/23/2019,56.195,3,56.195,56.195,56.195
09/20/2019,56.2898,203,56.35,56.35,56.2898
09/19/2019,56.386,200,56.58,56.58,56.386
09/18/2019,56.3999,N/A,56.3999,56.3999,56.3999
09/17/2019,56.3999,88,56.3999,56.3999,56.3999
09/16/2019,56.2573,30,56.2573,56.2573,56.2573
09/13/2019,56.4566,1,56.4566,56.4566,56.4566
09/12/2019,56.4219,3700,56.34,56.4219,56.34
09/11/2019,55.7757,N/A,55.7757,55.7757,55.7757
09/10/2019,55.7757,33,55.7757,55.7757,55.7757
09/09/2019,55.66,N/A,55.66,55.66,55.66
09/06/2019,55.66,163,55.66,55.66,55.66
09/05/2019,54.4912,N/A,54.4912,54.4912,54.4912
09/04/2019,54.4912,N/A,54.4912,54.4912,54.4912
09/03/2019,54.4912,184,54.24,54.4912,54.24
08/30/2019,54.719,N/A,54.719,54.719,54.719
08/29/2019,54.719,1,54.719,54.719,54.719
08/28/2019,54.0942,185,54.00,54.0942,54.00
08/27/2019,54.53,N/A,54.53,54.53,54.53
08/26/2019,54.53,N/A,54.53,54.53,54.53
08/23/2019,54.53,N/A,54.53,54.53,54.53
08/22/2019,54.53,N/A,54.53,54.53,54.53
08/21/2019,54.53,894,54.68,54.68,54.53
08/20/2019,54.2499,100,54.43,54.43,54.2499
08/19/2019,54.7472,77,54.7472,54.7472,54.7472
08/16/2019,54.1457,400,53.81,54.1457,53.81
08/15/2019,53.4306,5,53.4306,53.4306,53.4306
08/14/2019,53.2344,400,53.38,53.38,53.2344
08/13/2019,54.712,1,54.712,54.712,54.712
08/12/2019,54.0797,601,54.33,54.33,54.0797
08/09/2019,54.7386,117,55.02,55.02,54.7386
08/08/2019,54.9334,3785,54.8481,54.9334,54.7201
08/07/2019,54.064,150,53.74,54.064,53.74
08/06/2019,54.0496,76,54.0496,54.0496,54.0496
08/05/2019,53.4623,27,53.4623,53.4623,53.4623
08/02/2019,54.8693,123,54.8693,54.8693,54.8693
08/01/2019,55.1209,225,56.04,56.04,55.1209
07/31/2019,56.1839,N/A,56.1839,56.1839,56.1839
07/30/2019,56.1839,3,56.1839,56.1839,56.1839
07/29/2019,56.3234,5,56.3234,56.3234,56.3234
07/26/2019,55.9503,N/A,55.9503,55.9503,55.9503
07/25/2019,55.9503,3,55.9503,55.9503,55.9503
07/24/2019,56.1915,100,55.93,56.1915,55.93
07/23/2019,56.0001,118,55.9165,56.0001,55.9165
07/22/2019,55.6615,N/A,55.6615,55.6615,55.6615
07/19/2019,55.6615,7,55.6615,55.6615,55.6615
07/18/2019,55.8694,N/A,55.8694,55.8694,55.8694
07/17/2019,55.8694,5,55.8694,55.8694,55.8694
07/16/2019,56.3078,N/A,56.3078,56.3078,56.3078
07/15/2019,56.3078,2558,56.29,56.3078,56.245
07/12/2019,56.3794,38,56.3794,56.3794,56.3794
07/11/2019,56.1537,145,56.09,56.1537,56.09
07/10/2019,56.0514,1,56.0514,56.0514,56.0514
07/09/2019,55.8787,1,55.8787,55.8787,55.8787
